2021-12-23 22:12:392 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 22:12:162 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 22:12:743 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 23:12:509 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 23:12:604 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 23:12:05 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 23:12:889 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 23:12:703 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-23 23:12:259 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 00:12:640 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 00:12:533 INFO  OurStorePage :58 - select store:[[ChromeDriver: chrome on WINDOWS (ce0070275c55f4cf8e8b41254fd578d3)] -> xpath:  //ul[@class='toggle-footer']//li//a]
2021-12-24 00:12:558 INFO  OurStorePage :58 - select store:[[ChromeDriver: chrome on WINDOWS (ce0070275c55f4cf8e8b41254fd578d3)] -> xpath:  //ul[@class='toggle-footer']//li//a]
2021-12-24 00:12:579 INFO  OurStorePage :58 - select store:[[ChromeDriver: chrome on WINDOWS (ce0070275c55f4cf8e8b41254fd578d3)] -> xpath:  //ul[@class='toggle-footer']//li//a]
2021-12-24 23:12:34 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:918 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:894 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:878 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:570 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:422 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:254 INFO  CasualDress :29 - Mouse Hover to :[[ChromeDriver: chrome on WINDOWS (cee39902cab797afecdfa48e604c9d35)] -> xpath: //img[@title='Printed Dress']]
2021-12-24 23:12:378 INFO  CasualDress :37 - click on add to cart[[ChromeDriver: chrome on WINDOWS (cee39902cab797afecdfa48e604c9d35)] -> xpath: //a[@title='Add to cart']//span]
2021-12-24 23:12:770 INFO  ProductOrderPage :37 - click on checkout[[ChromeDriver: chrome on WINDOWS (cee39902cab797afecdfa48e604c9d35)] -> xpath: //a[@title='Proceed to checkout']//span]
2021-12-24 23:12:863 INFO  ProductOrderPage :42 - delete button[[ChromeDriver: chrome on WINDOWS (cee39902cab797afecdfa48e604c9d35)] -> xpath: //i[@class='icon-trash']]
2021-12-24 23:12:891 INFO  ProductOrderPage :47 - delete message[[ChromeDriver: chrome on WINDOWS (cee39902cab797afecdfa48e604c9d35)] -> xpath: //p[contains(text(),'Your shopping cart is empty.')]]
2021-12-24 23:12:932 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:437 INFO  SignInPage :30 - enter email:[[ChromeDriver: chrome on WINDOWS (ca82700cf4241296c02f17379fb844d4)] -> id: email_create]
2021-12-24 23:12:575 INFO  SignInPage :35 - click on button[[ChromeDriver: chrome on WINDOWS (ca82700cf4241296c02f17379fb844d4)] -> id: SubmitCreate]
2021-12-24 23:12:809 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-24 23:12:777 INFO  ManageDriver :34 - Launching Chrome Browser
