2021-12-27 14:12:896 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-27 14:12:774 INFO  OurStorePage :82 - scroll on map:[[ChromeDriver: chrome on WINDOWS (1c9e7e25eb5cf6715512b34e71ab83de)] -> id: map]
2021-12-27 14:12:232 INFO  OurStorePage :89 - scroll on map:[[ChromeDriver: chrome on WINDOWS (1c9e7e25eb5cf6715512b34e71ab83de)] -> id: map]
2021-12-27 14:12:927 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-27 15:12:114 INFO  OurStorePage :82 - scroll on map:[[ChromeDriver: chrome on WINDOWS (51c321f5985e4756fb36c1eaea7c905f)] -> id: map]
2021-12-27 15:12:540 INFO  OurStorePage :89 - scroll on map:[[ChromeDriver: chrome on WINDOWS (51c321f5985e4756fb36c1eaea7c905f)] -> id: map]
2021-12-28 15:12:824 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 15:12:886 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (3c6c810b366f357e52408391c125d1cb)] -> id: email_create]
2021-12-28 15:12:10 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (3c6c810b366f357e52408391c125d1cb)] -> id: SubmitCreate]
2021-12-28 15:12:145 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 15:12:336 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (a71212a01f4f740c894a9ea91f2f7948)] -> id: email_create]
2021-12-28 15:12:449 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (a71212a01f4f740c894a9ea91f2f7948)] -> id: SubmitCreate]
2021-12-28 15:12:549 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 15:12:860 INFO  OurStorePage :82 - scroll on map:[[ChromeDriver: chrome on WINDOWS (d6a4dbcb11634a647f692536960e4010)] -> id: map]
2021-12-28 15:12:317 INFO  OurStorePage :89 - scroll on map:[[ChromeDriver: chrome on WINDOWS (d6a4dbcb11634a647f692536960e4010)] -> id: map]
2021-12-28 15:12:34 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 15:12:855 INFO  CasualDress :37 - Mouse Hover On :[[ChromeDriver: chrome on WINDOWS (e47f8a50251062cf1dec65c49c839e39)] -> xpath: //img[@title='Printed Dress']]
2021-12-28 15:12:946 INFO  CasualDress :45 - click on cart [[ChromeDriver: chrome on WINDOWS (e47f8a50251062cf1dec65c49c839e39)] -> xpath: //a[@title='Add to cart']//span]
2021-12-28 15:12:672 INFO  CasualDress :49 - close window[[ChromeDriver: chrome on WINDOWS (e47f8a50251062cf1dec65c49c839e39)] -> xpath: //span[@title='Close window']]
2021-12-28 15:12:869 INFO  CasualDress :54 - mouseHover on :[[ChromeDriver: chrome on WINDOWS (e47f8a50251062cf1dec65c49c839e39)] -> xpath: //span[@class='ajax_cart_product_txt unvisible']]
2021-12-28 15:12:985 INFO  CasualDress :59 - click on close :[[ChromeDriver: chrome on WINDOWS (e47f8a50251062cf1dec65c49c839e39)] -> xpath: //a[@class='ajax_cart_block_remove_link']]
2021-12-28 15:12:89 INFO  ProductOrderPage :47 - delete messageProxy element for: DefaultElementLocator 'By.xpath: //p[contains(text(),'Your shopping cart is empty.')]'
2021-12-28 15:12:352 INFO  ManageDriver :34 - Launching Chrome Browser
